All ingredients in cryoprotective solution,DMSO usage,cooling rate,viability,recovery,Doubling time,Comments about method,Comments about results,Source (DOI link)
10% DMSO,0.1,slow_freeze,0.827,not mention,Not mentioned ,"The viability was tested by FACSCalibur flow cytometer using the Annexin V-fluorescein isothiocyanate (FITC) apoptosis. AlamarBlue assay and calcein AM assay were used to check Cell metabolic activity and proliferation and Cell morphology respectively. Alkaline phosphatase (ALP) expression, Oil Red O and toluidine blue staining for confirm the differentiation ability of Osteogenic differentiation, and adipogenic differentiation chondrogenic differentiation.","With DMSO as the sole permeating CPA, the paper found that the minimum DMSO concentration is around 5% (v/v) to achieve [ 73% cell survival. DMSO can be replaced with another permeating CPA, such as 1,2-propanediol although the cell survival is slightly lower. FBS can be replaced with albumin and 2% (w/v) albumin in CPA solution can significantly enhance the cell survival.",https://doi.org/10.1002/btpr.464
10% DMSO + 10% FBS,0.1,slow_freeze,0.838,not mention,Not mentioned ,,,
10% DMSO + 90% FBS,0.1,slow_freeze,0.902,not mention,Not mentioned ,,,
7.5% DMSO + 2.5% PEG,0.075,slow_freeze,0.72,not mention,Not mentioned ,,,
7.5% DMSO + 2.5% PEG + 2% BSA,0.075,slow_freeze,0.829,not mention,Not mentioned ,,,
5% DMSO + 5% PEG,0.05,slow_freeze,0.7,not mention,Not mentioned ,,,
5% DMSO + 5% PEG + 2% BSA,0.05,slow_freeze,0.8,not mention,Not mentioned ,,,
5% DMSO + 2% PEG + 3% trehalose,0.05,slow_freeze,0.56,not mention,Not mentioned ,,,
5% DMSO + 2% PEG + 3% trehalose + 2% BSA,0.05,slow_freeze,0.65,not mention,Not mentioned ,,,
2.5% DMSO + 7.5% PEG,0.025,slow_freeze,0.32,not mention,Not mentioned ,,,
2.5% DMSO + 7.5% PEG + 2% BSA,0.025,slow_freeze,0.38,not mention,Not mentioned ,,,
"10% 1,2-propanediol + 2% BSA",0,slow_freeze,0.68,not mention,Not mentioned ,,,
"7.5% 1,2-propanediol + 2.5% PEG + 2% BSA",0,multi_freeze,0.73,not mention,Not mentioned ,,,
150 mM Sucrose + 125 mM Mannitol + 12.5 mM Creatine,0,multi_freeze,not mention,0.48,Not mentioned ,Acridine Orange/Propidium Iodide (AO/PI) and flow cytometry were used to calculate the viability (recovery rate) and Cell surface phenotype respectively.,"The result showed the recovery rate of SMC (sucrose= 150 mM, mannitol= 125 mM, creatine= 12.5 mM) reached the highest level at 2 hours and SGC (sucrose= 150 mM, glycerol= 2.5%, creatine= 12.5 mM) at 1 hour of incubation, and then decreased after 4 hours. Moreover, substituting glucose for sucrose significantly reduced the recovery rate.",https://doi.org/10.1089/TEN.TEC.2016.0284
150 mM Glucose + 125 mM Mannitol + 12.5 mM Creatine,0,multi_freeze,not mention,0.32,Not mentioned ,,,
150 mM Sucrose + 2.5% Glycerol + 12.5 mM Creatine,0,multi_freeze,not mention,0.62,Not mentioned ,,,
150 mM Glucose + 2.5% Glycerol + 12.5 mM Creatine,0,multi_freeze,not mention,0.52,Not mentioned ,,,
150 mM Sucrose + 342 mM Glycerol + 12.5 mM Creatine,0,multi_freeze,0.6,not mention,Not mentioned ,,,
150 mM Glucose + 342 mM Glycerol + 12.5 mM Creatine,0,multi_freeze,0.4,not mention,Not mentioned ,,,
150 mM Sucrose + 684 mM Glycerol + 25 mM Creatine,0,multi_freeze,0.7,0.82,Not mentioned ,,,
300 mM Sucrose + 684 mM Glycerol + 12.5 mM Creatine,0,multi_freeze,0,0.71,Not mentioned ,,,
75 mM Sucrose + 63 mM Mannitol + 13 mM Creatine,0,multi_freeze,not mention,0.47,Not mentioned ,,,
225 mM Sucrose + 188 mM Mannitol + 3 mM Creatine,0,multi_freeze,not mention,0.43,Not mentioned ,,,
225 mM Sucrose + 125 mM Mannitol + 0 mM Creatine,0,multi_freeze,not mention,0.29,Not mentioned ,,,
0 mM Sucrose + 63 mM Mannitol + 25 mM Creatine,0,multi_freeze,not mention,0.54,Not mentioned ,,,
75 mM Sucrose + 125 mM Mannitol + 3 mM Creatine,0,multi_freeze,not mention,0.48,Not mentioned ,,,
30 mM Sucrose + 25 mM Mannitol + 25 mM Creatine,0,multi_freeze,not mention,0.31,Not mentioned ,,,
225 mM Sucrose + 188 mM Mannitol + 3 mM Creatine,0,multi_freeze,not mention,0.46,Not mentioned ,,,
150 mM Sucrose + 63 mM Mannitol + 6 mM Creatine,0,multi_freeze,not mention,0.41,Not mentioned ,,,
0 mM Sucrose + 25 mM Mannitol + 25 mM Creatine,0,multi_freeze,not mention,0.52,Not mentioned ,,,
75 mM Sucrose + 63 mM Mannitol + 19 mM Creatine,0,multi_freeze,not mention,0.38,Not mentioned ,,,
30 mM Sucrose + 0 mM Mannitol + 25 mM Creatine,0,multi_freeze,not mention,0.29,Not mentioned ,,,
50 mM Sucrose + 63 mM Mannitol + 13 mM Creatine,0,multi_freeze,not mention,0.37,Not mentioned ,,,
150 mM Sucrose + 63 mM Mannitol + 0 mM Creatine,0,multi_freeze,not mention,0.22,Not mentioned ,,,
30 mM Sucrose + 25 mM Mannitol + 25 mM Creatine,0,multi_freeze,not mention,0.33,Not mentioned ,,,
300 mM Sucrose + 250 mM Mannitol + 3 mM Creatine,0,multi_freeze,not mention,0.09,Not mentioned ,,,
150 mM Sucrose + 188 mM Mannitol + 3 mM Creatine,0,multi_freeze,not mention,0.49,Not mentioned ,,,
30 mM Sucrose + 25 mM Mannitol + 19 mM Creatine,0,multi_freeze,not mention,0.2,Not mentioned ,,,
150 mM Sucrose + 25 mM Mannitol + 6 mM Creatine,0,multi_freeze,not mention,0.33,Not mentioned ,,,
0 mM Sucrose + 125 mM Mannitol + 13 mM Creatine,0,multi_freeze,not mention,0.32,Not mentioned ,,,
150 mM Sucrose + 63 mM Mannitol + 6 mM Creatine,0,multi_freeze,not mention,0.34,Not mentioned ,,,
30 mM Sucrose + 63 mM Mannitol + 25 mM Creatine,0,multi_freeze,not mention,0.47,Not mentioned ,,,
30 mM Sucrose + 125 mM Mannitol + 19 mM Creatine,0,multi_freeze,not mention,0.31,Not mentioned ,,,
300 mM Sucrose + 250 mM Mannitol + 0 mM Creatine,0,multi_freeze,not mention,0.15,Not mentioned ,,,
150 mM Sucrose + 188 mM Mannitol + 19 mM Creatine,0,multi_freeze,not mention,0.26,Not mentioned ,,,
225 mM Sucrose + 250 mM Mannitol + 3 mM Creatine,0,multi_freeze,not mention,0.19,Not mentioned ,,,
225 mM Sucrose + 684 mM Glycerol + 0 mM Creatine,0,multi_freeze,not mention,0.94,Not mentioned ,,,
300 mM Sucrose + 342 mM Glycerol + 0 mM Creatine,0,multi_freeze,not mention,0.78,Not mentioned ,,,
300 mM Sucrose + 342 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,1.02,Not mentioned ,,,
300 mM Sucrose + 0 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,0.78,Not mentioned ,,,
300 mM Sucrose + 171 mM Glycerol + 19 mM Creatine,0,multi_freeze,not mention,0.59,Not mentioned ,,,
0 mM Sucrose + 684 mM Glycerol + 19 mM Creatine,0,multi_freeze,not mention,0.64,Not mentioned ,,,
75 mM Sucrose + 68 mM Glycerol + 19 mM Creatine,0,multi_freeze,not mention,0.53,Not mentioned ,,,
30 mM Sucrose + 171 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,0.36,Not mentioned ,,,
50 mM Sucrose + 68 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,0.38,Not mentioned ,,,
75 mM Sucrose + 684 mM Glycerol + 3 mM Creatine,0,multi_freeze,not mention,0.67,Not mentioned ,,,
0 mM Sucrose + 684 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,0.76,Not mentioned ,,,
150 mM Sucrose + 513 mM Glycerol + 0 mM Creatine,0,multi_freeze,not mention,0.68,Not mentioned ,,,
30 mM Sucrose + 68 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,0.31,Not mentioned ,,,
225 mM Sucrose + 513 mM Glycerol + 6 mM Creatine,0,multi_freeze,not mention,0.44,Not mentioned ,,,
75 mM Sucrose + 684 mM Glycerol + 13 mM Creatine,0,multi_freeze,not mention,0.46,Not mentioned ,,,
0 mM Sucrose + 754 mM Glycerol + 24 mM Creatine,0,multi_freeze,not mention,1.13,Not mentioned ,,,
50 mM Sucrose + 513 mM Glycerol + 0 mM Creatine,0,multi_freeze,not mention,1.1,Not mentioned ,,,
225 mM Sucrose + 342 mM Glycerol + 13 mM Creatine,0,multi_freeze,not mention,0.55,Not mentioned ,,,
300 mM Sucrose + 513 mM Glycerol + 3 mM Creatine,0,multi_freeze,not mention,0.54,Not mentioned ,,,
150 mM Sucrose + 684 mM Glycerol + 3 mM Creatine,0,multi_freeze,not mention,0.43,Not mentioned ,,,
0 mM Sucrose + 171 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,0.58,Not mentioned ,,,
150 mM Sucrose + 684 mM Glycerol + 0 mM Creatine,0,multi_freeze,not mention,0.54,Not mentioned ,,,
0 mM Sucrose + 68 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,0.33,Not mentioned ,,,
150 mM Sucrose + 342 mM Glycerol + 6 mM Creatine,0,multi_freeze,not mention,0.3,Not mentioned ,,,
30 mM Sucrose + 684 mM Glycerol + 19 mM Creatine,0,multi_freeze,not mention,0.45,Not mentioned ,,,
0 mM Sucrose + 68 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,0.21,Not mentioned ,,,
30 mM Sucrose + 171 mM Glycerol + 13 mM Creatine,0,multi_freeze,not mention,0.39,Not mentioned ,,,
150 mM Sucrose + 68 mM Glycerol + 13 mM Creatine,0,multi_freeze,not mention,0.68,Not mentioned ,,,
30 mM Sucrose + 684 mM Glycerol + 19 mM Creatine,0,multi_freeze,not mention,0.43,Not mentioned ,,,
30 mM Sucrose + 171 mM Glycerol + 25 mM Creatine,0,multi_freeze,not mention,0.41,Not mentioned ,,,
10 wt% PEG 400,"0
",slow_freeze,not mention,0.05,Not mentioned ,"Trypan blue and CCK-8 assay was utilized to quantify cell viability and cytotoxicity. Alizarin Red staining, Oil Red O staining, and Alcian Blue staining were employed to confirm the ability of osteogenic differentiation, adipogenic differentiation, chondrogenic differentiation respectively.","The result showed the 2h pretreatment of 400KDa-600KDa PEG and 0h pretreatment of middle range of molecular weight of PEG (1K, 1.5K, 5K Da) can improve the recovery rate of MSCs in cryoprotectant.",https://doi.org/10.1186/s40824-023-00356-z
10 wt% PEG 600,"0
",slow_freeze,not mention,0.05,Not mentioned ,,,
10 wt% PEG 1K,"0
",slow_freeze,not mention,0.35,Not mentioned ,,,
10 wt% PEG 1.5K,"0
",slow_freeze,not mention,0.48,Not mentioned ,,,
10 wt% PEG 5K,"0
",slow_freeze,not mention,0.55,Not mentioned ,,,
10 wt% PEG 10K,"0
",slow_freeze,not mention,0.28,Not mentioned ,,,
10 wt% PEG 20K,"0
",slow_freeze,not mention,0.22,Not mentioned ,,,
10% DMSO,0.1,slow_freeze,0.25,0.7,Not mentioned ,,,
10 wt% PEG 400,"0
",slow_freeze,not mention,0.5,Not mentioned ,,,
10 wt% PEG 600,"0
",slow_freeze,not mention,0.5,Not mentioned ,,,
10 wt% PEG 1K,"0
",slow_freeze,not mention,0.3,Not mentioned ,,,
10 wt% PEG 1.5K,"0
",slow_freeze,not mention,0.2,Not mentioned ,,,
10 wt% PEG 5K,"0
",slow_freeze,not mention,0.1,Not mentioned ,,,
10 wt% PEG 10K,"0
",slow_freeze,not mention,0.05,Not mentioned ,,,
10 wt% PEG 20K,"0
",slow_freeze,not mention,0.03,Not mentioned ,,,
10% DMSO,0.1,slow_freeze,not mention,0.7,Not mentioned ,,,
10 wt% PEG 400,"0
",slow_freeze,not mention,0.2,Not mentioned ,,,
10 wt% PEG 600,"0
",slow_freeze,not mention,0.1,Not mentioned ,,,
10 wt% PEG 1K,"0
",slow_freeze,not mention,0.08,Not mentioned ,,,
10 wt% PEG 1.5K,"0
",slow_freeze,not mention,0.05,Not mentioned ,,,
10 wt% PEG 5K,"0
",slow_freeze,not mention,0.05,Not mentioned ,,,
10 wt% PEG 10K,"0
",slow_freeze,not mention,0.03,Not mentioned ,,,
10 wt% PEG 20K,"0
",slow_freeze,not mention,0.02,Not mentioned ,,,
10% DMSO,0.1,slow_freeze,not mention,0.7,Not mentioned ,,,
10% DMSO + 2% FBS,0.1,slow_freeze,0.65,not mention,65–75h,,,https://doi.org/10.3390/biom12050610
5% DMSO + 2% FBS,0.05,slow_freeze,0.63,not mention,Not mentioned ,,,
3% DMSO + 2% FBS,0.03,slow_freeze,0.67,not mention,130–140h,,,
5% DMSO + 0.1% HMW-HA + 2% FBS,0.05,slow_freeze,0.75,not mention,Not mentioned ,,,
5% DMSO + 0.2% HMW-HA + 2% FBS,0.05,slow_freeze,0.7,not mention,Not mentioned ,,,
3% DMSO + 0.1% HMW-HA + 2% FBS,0.03,slow_freeze,0.7,not mention,60–70h,,,
3% DMSO + 0.2% HMW-HA + FBS,0.03,slow_freeze,0.78,not mention,Not mentioned ,,,
0.1% methylcellulose + 1% proline + 1% ectoin,0,slow_freeze,0.68,0.24,Not mentioned ,Viability testing and adipogenic differentiation ability were tested by Trypan Blue dye and Oil red O staining respectively,"The result showed the optimal non-commercial DMSO-free cryoprotectant protocol is PBS + 0.1% methylcellulose + 1% proline + 1% ectoin, Moreover, a combination of two compatible solutes is more effective than the single molecules alone.",https://doi.org/10.1016/j.cryobiol.2011.05.002
0.1% methylcellulose + 1% proline + 1% ectoin,0,slow_freeze,0.76,0.64,Not mentioned ,,,
0.1% methylcellulose + 1% proline + 1% ectoin,0,slow_freeze,0.66,0.47,Not mentioned ,,,
0.1% methylcellulose + 1% proline + 10% ectoin,0,slow_freeze,0.62,0.52,Not mentioned ,,,
0.1% methylcellulose + 1% proline + 10% ectoin,0,slow_freeze,0.81,0.78,Not mentioned ,,,
0.1% methylcellulose + 1% proline + 10% ectoin,0,slow_freeze,0.66,0.81,Not mentioned ,,,
0.1% methylcellulose + 5% proline + 5% ectoin,0,slow_freeze,0.65,0.38,Not mentioned ,,,
0.1% methylcellulose + 5% proline + 5% ectoin,0,slow_freeze,0.86,0.57,Not mentioned ,,,
0.1% methylcellulose + 5% proline + 5% ectoin,0,slow_freeze,0.84,0.64,Not mentioned ,,,
0.1% methylcellulose + 10% proline + 1% ectoin,0,slow_freeze,0.58,0.19,Not mentioned ,,,
0.1% methylcellulose + 10% proline + 1% ectoin,0,slow_freeze,0.67,0.27,Not mentioned ,,,
0.1% methylcellulose + 10% proline + 1% ectoin,0,slow_freeze,0.7,0.22,Not mentioned ,,,
0.1% methylcellulose + 10% proline + 10% ectoin,0,slow_freeze,0.68,0.48,Not mentioned ,,,
0.1% methylcellulose + 10% proline + 10% ectoin,0,slow_freeze,0.72,0.72,Not mentioned ,,,
0.1% methylcellulose + 10% proline + 10% ectoin,0,slow_freeze,0.72,0.64,Not mentioned ,,,
0.1% methylcellulose + 10% DMSO,0.1,slow_freeze,0.91,0.98,Not mentioned ,,,
0.1% methylcellulose,0,slow_freeze,0.38,0.12,Not mentioned ,,,
10% FCS + 5% Me2SO,0.05,slow_freeze,0.61,not mention,Not mentioned,"Two-step slow freezing, no controlled ice nucleation",Lower viability and metabolic activity for AEMS compared to CSMS with 5% Me2SO,https://doi.org/10.1016/j.cryobiol.2013.02.002
10% FCS + 5% Me2SO,0.05,slow_freeze,0.73,not mention,Not mentioned,"Two-step slow freezing, no controlled ice nucleation",Lower viability and metabolic activity for AEMS compared to CSMS with 5% Me2SO,https://doi.org/10.1016/j.cryobiol.2013.02.002
10% FCS + 10% Me2SO,0.1,slow_freeze,0.79,not mention,Not mentioned,"Two-step slow freezing, no controlled ice nucleation",No significant difference in viability between AEMS and CSMS with 10% Me2SO,https://doi.org/10.1016/j.cryobiol.2013.02.002
10% FCS + 10% Me2SO,0.1,slow_freeze,0.82,not mention,Not mentioned,"Two-step slow freezing, no controlled ice nucleation",No significant difference in viability between AEMS and CSMS with 10% Me2SO,https://doi.org/10.1016/j.cryobiol.2013.02.002
10% FCS + 10% Me2SO,0.1,multi_freeze,0.87,not mention,Not mentioned,Three-step slow cooling with controlled ice nucleation,Highest viability and metabolic activity for AEMS; retained multilineage differentiation,https://doi.org/10.1016/j.cryobiol.2013.02.002
10% FCS + 10% Me2SO,0.1,multi_freeze,0.88,not mention,Not mentioned,Three-step slow cooling with controlled ice nucleation,Highest viability and metabolic activity for AEMS; retained multilineage differentiation,https://doi.org/10.1016/j.cryobiol.2013.02.002
10% FCS + 10% Me2SO,0.1,rapid_freeze,0.06,not mention,Not mentioned,Rapid one-step freezing,"Critical damage to MSCs, loss of alginate transparency",https://doi.org/10.1016/j.cryobiol.2013.02.002
10% FCS + 10% Me2SO,0.1,rapid_freeze,0.03,not mention,Not mentioned,Rapid one-step freezing,"Critical damage to MSCs, loss of alginate transparency",https://doi.org/10.1016/j.cryobiol.2013.02.002
Sucrose + Glycerol + Isoleucine,0,multi_freeze,0.829,0.929,Not mentioned,Controlled rate freezing with standardized protocol; SGI incubated at room temperature for 1 hour,Slightly lower viability (82.9%) but higher recovery (92.9%); comparable immunophenotype and gene expression,https://doi.org/10.1016/j.jcyt.2024.07.001
Sucrose + Glycerol + Isoleucine,0,slow_freeze,not mention,not mention,Not mentioned,Freezing at -80°C overnight in isopropanol rack; SGI incubated at room temperature for 1 hour,Not separately reported; assumed comparable immunophenotype and gene expression,https://doi.org/10.1016/j.jcyt.2024.07.001
5–10% DMSO + 1–6% HSA or 20–30% FBS or 30% hPL,0.1,slow_freeze,0.898,0.873,Not mentioned,"Center-specific freezing, mostly -1°C/min; in-house solution kept on ice before freezing",Higher viability (89.8%) but lower recovery (87.3%); slightly lower CD73 and CD90 expression,https://doi.org/10.1016/j.jcyt.2024.07.001
E8 medium + 50% KnockOut Serum Replacement + 10% DMSO + 10 μM ROCK Inhibitor,0.1,slow_freeze,0.41,not mention,Not mentioned,"Conventional freezing in CoolCell, -1°C/min, cryovials",Baseline viability; no significant difference from bottom-up at 10% DMSO,https://doi.org/10.1002/btpr.70019
E8 medium + 50% KnockOut Serum Replacement + 10% DMSO + 10 μM ROCK Inhibitor,0.1,slow_freeze,0.41,not mention,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -1°C/min, cryovials",Similar viability to conventional at 10% DMSO; differentiation unaffected,https://doi.org/10.1002/btpr.70019
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,0.05,slow_freeze,0.53,not mention,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -1°C/min, cryovials",Higher metabolic viability (53%) than conventional (41%) at 5% DMSO,https://doi.org/10.1002/btpr.70019
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,0.05,slow_freeze,0.62,not mention,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -2°C/min, cryovials","Optimal viability (87% membrane, 62% metabolic), 7–21% improvement over conventional",https://doi.org/10.1002/btpr.70019
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,0.05,slow_freeze,0.31,not mention,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -2°C/min, 30 mL CryoMACS bags","Lower viability in bags (69% membrane, 31% metabolic) but 9–8% better than conventional",https://doi.org/10.1002/btpr.70019
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,0.05,slow_freeze,0.23,not mention,Not mentioned,"Conventional freezing, direct -80°C, 30 mL CryoMACS bags","Lowest viability in bags (60% membrane, 23% metabolic)",https://doi.org/10.1002/btpr.70019
90% FBS + 10% DMSO,0.1,slow_freeze,0.938,not mention,Not mentioned,"Cryopreservation in 90% FBS + 10% DMSO, -1°C/min in Mr Frosty container, cryovials, stored in LN2 for ≥1 week, thawed at 40°C for 1 min, DMSO diluted in warm medium","Viability drops significantly at 2–4 h post-thaw (88.4–95.8%) compared to fresh (98.4–99.2%), recovers at 24 h (93.1–97.6%); apoptosis increases (5.3–21.2% vs. 1–4% fresh), decreases at 24 h; metabolic activity and adhesion lower than fresh at all time points; proliferation unaffected; CFUF reduced for M6/M7; differentiation variable (M4: higher adipogenic/osteogenic, M6: higher adipogenic, M7: lower adipogenic/osteogenic); CD90 expression drops below 95% at 4–24 h in M4/M6",https://doi.org/10.1186/s13287-020-02067-5
90% FBS + 10% DMSO,0.1,slow_freeze,0.888,not mention,Not mentioned,,,
90% FBS + 10% DMSO,0.1,slow_freeze,0.884,not mention,Not mentioned,,,
90% FBS + 10% DMSO,0.1,slow_freeze,0.931,not mention,Not mentioned,,,
FBS + 10% DMSO,0.1,slow_freeze,0.65,not mention,Not mentioned ,"HDFs cryopreserved in FBS + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, centrifuged (5000 rpm, 5 min) before seeding","High viability (~50–65%), live cell numbers increase by 0.3–0.5 × 10^5 by day 7; good attachment; retains morphology; highest Ki67 (97.3% at 3 months), Col-1 (100%) expression",https://doi.org/10.1186/s12860-024-00519-2
FBS + 10% DMSO,0.1,slow_freeze,0.35,not mention,Not mentioned ,"HDFs cryopreserved in HPL + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, directly seeded","Moderate viability (~30–40%), lower live cell numbers (1.5–3.5 × 10^5); clumping observed; retains morphology; lower Col-1 (~80%), Ki67 (~85%) expression",https://doi.org/10.1186/s12860-024-00519-2
HPL + 10% DMSO,0.1,slow_freeze,0.3,not mention,Not mentioned ,"HPL cryopreserved in HPL + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, centrifuged (5000 rpm, 5 min) before seeding","Low viability (~25–35%), lower live cell numbers (1.0–3.0 × 10^5); clumping; retains morphology; lower Col-1 (~80%), Ki67 (~85%) expression",https://doi.org/10.1186/s12860-024-00519-2
HPL + 10% DMSO,0.1,slow_freeze,0.25,not mention,Not mentioned ,"HDFs cryopreserved in CryoStor, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, directly seeded","Lowest viability (~20–30%), lowest live cell numbers (1.0–2.5 × 10^5); poor attachment; retains morphology; lowest Col-1 (~70%), Ki67 (~80%) expression",https://doi.org/10.1186/s12860-024-00519-2
CryoStor,Not mentioned,slow_freeze,0.2,not mention,Not mentioned,"HDFs cryopreserved in CryoStor, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, centrifuged (5000 rpm, 5 min) before seeding","Lowest viability (~15–25%), lowest live cell numbers (1.0–2.0 × 10^5); poor attachment; retains morphology; lowest Col-1 (~70%), Ki67 (~80%) expression",https://doi.org/10.1186/s12860-024-00519-2
FCS + 10% DMSO,0.1,slow_freeze,0.397,not mention,Not mentioned,"ENSdN cryopreserved in 90% FCS + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium","Viability ~39.7% (intact spheres),  no significant change in protein expression; slight increase in Sox2 mRNA; no change in calcium response to stimuli; significant increase in nicotine-responsive cells (48.7% vs. 29.6%)",https://doi.org/10.3389/fcell.2022.832377
FCS + 10% DMSO,0.1,slow_freeze,0.457,not mention,Not mentioned,"ENSdN cryopreserved in 90% FCS + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium",Viability ~45.7% (dissociated cells); no significant change in protein expression; slight increase in Sox2 mRNA; no change in calcium response to stimuli; significant increase in nicotine-responsive cells (48.7% vs. 29.6%),https://doi.org/10.3389/fcell.2022.832377
FCS + 10% DMSO,0.1,slow_freeze,0.402,not mention,Not mentioned,"ENSdN cryopreserved in 20% FCS + 70% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium","Viability ~40.2% (intact spheres), significant upregulation of Nanog protein; significant increase in ß-TubulinIII mRNA; calcium response not tested",https://doi.org/10.3389/fcell.2022.832377
FCS + 10% DMSO,0.1,slow_freeze,0.485,not mention,Not mentioned,"ENSdN cryopreserved in 20% FCS + 70% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium",Viability  ~48.5% (dissociated cells); significant upregulation of Nanog protein; significant increase in ß-TubulinIII mRNA; calcium response not tested,https://doi.org/10.3389/fcell.2022.832377
10% DMSO,0.1,slow_freeze,0.273,not mention,Not mentioned,"ENSdN cryopreserved in 90% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium","Viability ~27.3% (intact spheres), significant upregulation of PGP9.5, ß-TubulinIII, GFAP, S100, p75, Nestin, Sox2 mRNA; significant upregulation of Oct4, S100 protein; calcium response not tested",https://doi.org/10.3389/fcell.2022.832377
10% DMSO,0.1,slow_freeze,0.595,not mention,Not mentioned,"ENSdN cryopreserved in 90% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium","Viability ~59.5% (dissociated cells); significant upregulation of PGP9.5, ß-TubulinIII, GFAP, S100, p75, Nestin, Sox2 mRNA; significant upregulation of Oct4, S100 protein; calcium response not tested",https://doi.org/10.3389/fcell.2022.832377
StemCell Keep,0,rapid_freeze,0.033,not mention,Not mentioned,"ENSdN cryopreserved in StemCell Keep™, flash-freezing (vitrification) in liquid nitrogen, stored for 2 weeks, thawed by adding 37°C culture medium",Viability ~ 0% (dissociated cells); significant increase in p75 mRNA; protein expression not assessed due to low survival; calcium response not tested,https://doi.org/10.3389/fcell.2022.832377
StemCell Keep,0,rapid_freeze,0,not mention,Not mentioned,"ENSdN cryopreserved in StemCell Keep™, flash-freezing (vitrification) in liquid nitrogen, stored for 2 weeks, thawed by adding 37°C culture medium","Viability ~3.3% (intact spheres), 0% (dissociated cells); significant increase in p75 mRNA; protein expression not assessed due to low survival; calcium response not tested",https://doi.org/10.3389/fcell.2022.832377
5% DMSO + plasma replacement fluid,0.05,slow_freeze,not mention,0.9,Not Mentioned,"MRD HSCs cryopreserved in 5% DMSO + plasma, controlled rate freezing, stored ≤–150°C vapor phase LN2 (median 11 days), thawed at 37°C for 5 min, infused immediately","No significant difference in neutrophil/platelet engraftment rates/times vs. non-cryo; 1-year OS 53% (vs. 60%, p=0.54)",https://doi.org/10.21873/invivo.13565
5% DMSO + plasma replacement fluid,0.05,slow_freeze,not mention,0.81,Not Mentioned,"MUD HSCs cryopreserved in 5% DMSO + plasma, controlled rate freezing, stored ≤–150°C vapor phase LN2 (median 11 days), thawed at 37°C for 5 min, infused immediately","No significant difference in neutrophil engraftment/times; lower platelet engraftment rate (81% vs. 96%, p=0.01); 1-year OS 60% (vs. 66%, p=0.5)",https://doi.org/10.21873/invivo.13565
5% DMSO + plasma replacement fluid,0.05,slow_freeze,not mention,0.5,Not Mentioned,"HID HSCs cryopreserved in 5% DMSO + plasma, controlled rate freezing, stored ≤–150°C vapor phase LN2 (median 11 days), thawed at 37°C for 5 min, infused immediately","No significant difference in engraftment rates/times; 1-year OS 50% (vs. 41%, p=0.56)",https://doi.org/10.21873/invivo.13565
empty,0,slow_freeze,not mention,0.98,Not Mentioned,"MRD fresh HSCs (PBSCs), stored/transported at 2-8°C or room temp, infused within 72 h",Baseline for MRD fresh; high engraftment rates (98%); 1-year OS 60%,https://doi.org/10.21873/invivo.13565
